"id","label","type","latitude","longitude"
"4670","Athena Research Center, Greece","place","38.055","23.8077"
"4671","Australian National University","place","-35.2778","149.1205"
"4672","Barnard College","place","40.8091045","-73.9661273"
"4673","Beloit College, WI","place","42.5030333","-89.0330935"
"4674","Birkbeck College, London","place","51.521975","-0.1326507"
"4675","Brigham Young University","place","40.2518435","-111.6515043"
"4676","Brooklyn College and the Graduate Center, CUNY","place","40.578349","-73.9366537"
"4677","Brown University","place","41.8267718","-71.4047369"
"4678","Bucknell University","place","40.9551414","-76.8871516"
"4679","Cambridge University","place","52.2043","0.1149"
"4680","Canisius College","place","42.92528","-78.85278"
"4681","Carleton College","place","44.4613092","-93.1583225"
"4682","Catholic University of America","place","38.932939","-76.997783"
"4683","Central European University, Budapest","place","47.500535","19.0474502"
"4684","Central Washington University","place","47.0039381","-120.5421431"
"4685","Centre College","place","37.6457214","-84.7842257"
"4686","Coe College","place","41.9886884","-91.6613477"
"4687","College of Charleston","place","32.7835221","-79.9398605"
"4688","Colorado State University-Pueblo","place","38.3057535","-104.582321"
"4689","Columbia University","place","40.8406975","-73.9456081"
"4690","Cornell University","place","42.4534492","-76.4756914"
"4691","Creighton University","place","41.2654998","-95.9471759"
"4692","Dartmouth College","place","43.7044406","-72.2908821"
"4693","Denison University","place","40.074025","-82.5248317"
"4694","DePauw University","place","39.640397","-86.8638107"
"4695","Drew University","place","40.7611058","-74.4303882"
"4696","Duke University","place","36.0014258","-78.9404173"
"4697","Durham University","place","54.7649859","-1.5803916"
"4698","École Pratique des Hautes Études, Université Paris 1- La Sorbonne","place","48.8486","2.3433"
"4699","Elon University","place","36.1048739","-79.5065356"
"4700","Emory University","place","33.7925195","-84.3261876"
"4701","Fairfield University","place","41.3354191","-73.5348985"
"4702","Fordham University","place","40.8620404","-73.8878874"
"4703","Georgia State University","place","33.753068","-84.3874706"
"4704","Gordon College","place","42.590783","-70.8259297"
"4705","Groningen University","place","53.2192634","6.5607985"
"4706","Harvard Divinity School","place","42.3770029","-71.1188488"
"4707","Harvard University","place","42.3770029","-71.1188488"
"4708","Haverford","place","40.0066524","-75.3075067"
"4709","Holy Cross","place","42.6004556","-91.0053838"
"4710","Illinois State University","place","40.5109769","-88.995738"
"4711","Indiana University","place","39.167047","-86.526937"
"4712","Institute for the Study of the Ancient World at NYU","place","40.7419983","-73.9769793"
"4713","Institute of Classical Studies, University of London","place","51.5229378","-0.1330093"
"4714","International Catacomb Society","place","42.3652726","-71.0575043"
"4715","King's College London","place","51.4683603","-0.0982117"
"4716","Leiden University","place","52.156949","4.481357"
"4717","Louisiana State University","place","29.5947002","-90.7232252"
"4718","Loyola University Chicago","place","41.9986698","-87.6599589"
"4719","Macalester College","place","44.93914","-93.1706918"
"4720","Macquarie University","place","-33.775259","151.112915"
"4721","Marquette University","place","43.0381561","-87.9335618"
"4722","Mount Allison University","place","45.8983184","-64.3752891"
"4723","Mount Holyoke College","place","42.2579399","-72.5785799"
"4724","New York University","place","40.7419983","-73.9769793"
"4725","North Hennepin Community College","place","45.1071505","-93.3765733"
"4726","Northwestern University","place","42.0531","-87.6748"
"4727","Oberlin College","place","41.2939","-82.2174"
"4728","Occidental College","place","34.1271592","-118.2154267"
