"id","source","source_label","target","target_label","type"
"2424","190","Flower, Harriet","\N","\N","\N"
"2435","195","Franks, Mary","\N","\N","\N"
"2410","187","Finn, Jenn","3709","Greece","interest"
"2598","223","Himmelfarb, Martha","\N","\N","\N"
"2626","228","Hughes, Amy","3965","Origen","interest"
"2833","260","Luijendijk, Anne-Marie","\N","\N","\N"
"2850","264","Mackil, Emily","3679","Epigraphy","interest"
"2989","289","Muniz Grijalvo, Elena","\N","\N","\N"
"3003","293","Neville, Leonora","\N","\N","\N"
"3024","298","Pagels, Elaine","\N","\N","\N"
"3028","300","Peek, Cecilia","\N","\N","\N"
"3231","333","Shapiro, Susan","\N","\N","\N"
"1958","101","Acton, Karen","3958","Numismatics, Roman","interest"
"1959","102","Ahearne-Kroll, Patricia","3846","Judaism","interest"
"1960","102","Ahearne-Kroll, Patricia","3853","Judaism, Second Temple","interest"
"1961","102","Ahearne-Kroll, Patricia","3661","Egypt","interest"
"1962","102","Ahearne-Kroll, Patricia","3667","Egypt, Ptolemaic","interest"
"1963","102","Ahearne-Kroll, Patricia","4016","Religion","interest"
"1964","102","Ahearne-Kroll, Patricia","4022","Religion, Ptolemaic","interest"
"1965","102","Ahearne-Kroll, Patricia","3846","Judaism","interest"
"1966","102","Ahearne-Kroll, Patricia","3848","Judaism, Diaspora","interest"
"1967","102","Ahearne-Kroll, Patricia","3887","Literature, Jewish, Second Temple  ","interest"
"1968","103","Ahuvia, Mika","3762","History, Jewish","interest"
"1969","103","Ahuvia, Mika","3763","History, Jewish, Late Antique","interest"
"1970","103","Ahuvia, Mika","3914","Magical Texts","interest"
"1971","103","Ahuvia, Mika","3899","Literature, Poetry, Liturgical","interest"
"1972","103","Ahuvia, Mika","3893","Literature, Mystical","interest"
"1973","104","Allen, Lindsay","3979","Persia, Achaemenid","interest"
"1974","104","Allen, Lindsay","3837","Iran, Pre Islamic","interest"
"1975","104","Allen, Lindsay","3942","Modern  Reception Of  Near East","interest"
"1976","105","Archibald, Zosia","3656","Economics","interest"
"1977","105","Archibald, Zosia","4090","Thrace","interest"
"1978","106","Arena, Valentina","4016","Religion","interest"
"1979","106","Arena, Valentina","4024","Religion, Roman","interest"
"1980","106","Arena, Valentina","3996","Political Thought","interest"
"1981","106","Arena, Valentina","3962","Oratory","interest"
"1982","107","Atack, Carol","3776","History, Political","interest"
"1983","107","Atack, Carol","3776","History, Political","interest"
"1984","107","Atack, Carol","3780","History, Political, Hellenistic","interest"
"1985","107","Atack, Carol","3776","History, Political","interest"
"1986","107","Atack, Carol","3776","History, Political","interest"
"1987","107","Atack, Carol","3779","History, Political, Greek, Classical ","interest"
"1988","107","Atack, Carol","3996","Political Thought","interest"
"1989","107","Atack, Carol","3997","Political Thought, Greek","interest"
"1990","107","Atack, Carol","3725","Historiography","interest"
"1991","107","Atack, Carol","3726","Historiography, Greek","interest"
"1992","108","Bablitz, Leanne","3869","Law, Roman","interest"
"1993","108","Bablitz, Leanne","4063","Space","interest"
"1994","108","Bablitz, Leanne","4068","Spatiality, Roman","interest"
"1995","108","Bablitz, Leanne","4080","Tacitus","interest"
"1996","108","Bablitz, Leanne","3629","Courtrooms","interest"
"1997","109","Bailey, Lisa","3597","Christianity","interest"
"1998","109","Bailey, Lisa","3599","Christianity, Early","interest"
"1999","109","Bailey, Lisa","3700","Gaul","interest"
"2000","109","Bailey, Lisa","3865","Late Antiquity","interest"
"2001","110","Bailey, Melissa","3924","Measurement","interest"
"2002","110","Bailey, Melissa","3955","Numeracy","interest"
"2003","110","Bailey, Melissa","3743","History, Economic","interest"
"2004","110","Bailey, Melissa","3743","History, Economic","interest"
"2005","110","Bailey, Melissa","3746","History, Economic, Roman","interest"
"2006","110","Bailey, Melissa","4063","Space","interest"
"2007","110","Bailey, Melissa","4064","Space, Domestic","interest"
"2008","110","Bailey, Melissa","3735","History, Cognitive","interest"
"2009","111","Balberg, Mira","3865","Late Antiquity","interest"
"2010","111","Balberg, Mira","3906","Literature, Rabbinic, Early","interest"
"2011","111","Balberg, Mira","4010","Purity Systems","interest"
"2012","111","Balberg, Mira","4043","Sacrifice","interest"
"2013","111","Balberg, Mira","3856","Knowledge, Production","interest"
"2014","112","Ballmes, Victoria","3597","Christianity","interest"
"2015","112","Ballmes, Victoria","3599","Christianity, Early","interest"
"2016","112","Ballmes, Victoria","3842","Jewish-Christian Relations","interest"
"2017","112","Ballmes, Victoria","3788","History, Roman","interest"
"2018","112","Ballmes, Victoria","3865","Late Antiquity","interest"
"2019","113","Bannon, Cynthia","3788","History, Roman","interest"
"2020","113","Bannon, Cynthia","3869","Law, Roman","interest"
"2021","113","Bannon, Cynthia","3656","Economics","interest"
"2022","113","Bannon, Cynthia","3657","Economics, Roman","interest"
"2023","113","Bannon, Cynthia","3750","History, Environmental","interest"
"2024","114","Barrett, Caitlyn","3661","Egypt","interest"
"2025","114","Barrett, Caitlyn","3663","Egypt, Graeco-Roman","interest"
"2026","114","Barrett, Caitlyn","3722","Hellenistic Period","interest"
"2027","114","Barrett, Caitlyn","3547","Archaeology","interest"
"2028","114","Barrett, Caitlyn","3552","Archaeology, Egypt","interest"
"2029","114","Barrett, Caitlyn","3547","Archaeology","interest"
"2030","114","Barrett, Caitlyn","3550","Archaeology, Classical","interest"
"2031","115","Barry, Jennifer","3865","Late Antiquity","interest"
"2032","115","Barry, Jennifer","3689","Exile, Clerical","interest"
"2033","115","Barry, Jennifer","4052","Sexuality","interest"
"2034","115","Barry, Jennifer","3702","Gender","interest"
"2035","115","Barry, Jennifer","3723","Heresy","interest"
"2036","115","Barry, Jennifer","3966","Orthodoxy","interest"
"2037","117","Beard, Mary","3788","History, Roman","interest"
"2038","117","Beard, Mary","3679","Epigraphy","interest"
"2039","117","Beard, Mary","3784","History, Regina Of","interest"
"2040","118","Beaulieu, Marie-Claire","4016","Religion","interest"
"2041","118","Beaulieu, Marie-Claire","4018","Religion, Greek","interest"
"2042","118","Beaulieu, Marie-Claire","3679","Epigraphy","interest"
"2043","118","Beaulieu, Marie-Claire","3681","Epigraphy, Greek","interest"
"2044","118","Beaulieu, Marie-Claire","3864","Language, Latin, Medieval ","interest"
"2045","118","Beaulieu, Marie-Claire","3643","Digital Humanities","interest"
"2046","119","Beerden, Kim","4016","Religion","interest"
"2047","119","Beerden, Kim","4018","Religion, Greek","interest"
"2048","119","Beerden, Kim","3652","Divination","interest"
"2049","119","Beerden, Kim","3696","Food","interest"
"2050","119","Beerden, Kim","3752","History, Food And Foodways","interest"
"2051","120","Benardou, Agiatis","3799","History, Social","interest"
"2052","120","Benardou, Agiatis","3810","History, Social, The Corinthia","interest"
"2053","120","Benardou, Agiatis","3743","History, Economic","interest"
"2054","120","Benardou, Agiatis","3743","History, Economic","interest"
"2055","120","Benardou, Agiatis","3744","History, Economic, Corinthia","interest"
"2056","120","Benardou, Agiatis","3711","Greece, Classical","interest"
"2057","121","Benefiel, Rebecca","3707","Graffiti","interest"
"2058","121","Benefiel, Rebecca","4002","Pompeii","interest"
"2059","121","Benefiel, Rebecca","3788","History, Roman","interest"
"2060","121","Benefiel, Rebecca","3679","Epigraphy","interest"
"2061","122","Berry, Joanne","3788","History, Roman","interest"
"2062","122","Berry, Joanne","4063","Space","interest"
"2063","122","Berry, Joanne","4064","Space, Domestic","interest"
"2064","122","Berry, Joanne","3580","Bay Of Naples","interest"
"2065","122","Berry, Joanne","4002","Pompeii","interest"
"2066","122","Berry, Joanne","3751","History, Excavations","interest"
"2067","123","Berti, Monica","3730","History","interest"
"2068","123","Berti, Monica","3699","Fragmentary Texts","interest"
"2069","123","Berti, Monica","3643","Digital Humanities","interest"
