"id","source","source_label","target","target_label","type"
"4513","318","Roselaar, Saskia","\N","self-employed","affiliation"
"4505","319","Rosenblitt, Alison","\N","Regent's Park College, University of Oxford","affiliation"
"4578","278","Michell, Lynette","4778","University of Exeter","affiliation"
"4659","101","Acton, Karen","4831","Washington University in St. Louis","affiliation"
"4614","102","Ahearne-Kroll, Patricia","4798","University of Minnesota","affiliation"
"4645","103","Ahuvia, Mika","4822","University of Washington","affiliation"
"4590","105","Archibald, Zosia","4787","University of Liverpool","affiliation"
"4555","106","Arena, Valentina","4762","University College London","affiliation"
"4644","107","Atack, Carol","4821","University of Warwick","affiliation"
"4566","108","Bablitz, Leanne","4767","University of British Columbia","affiliation"
"4562","109","Bailey, Lisa","4764","University of Auckland","affiliation"
"4605","110","Bailey, Melissa","4793","University of Maryland, Baltimore County","affiliation"
"4486","111","Balberg, Mira","4726","Northwestern University","affiliation"
"4537","112","Ballmes, Victoria","4774","University of California, Santa Barbara","affiliation"
"4429","114","Barrett, Caitlyn","4690","Cornell University","affiliation"
"4600","115","Barry, Jennifer","4791","University of Mary Washington","affiliation"
"4613","116","Bauerle, Ellen","4796","University of Michigan Press","affiliation"
"4412","117","Beard, Mary","4679","Cambridge University","affiliation"
"4533","118","Beaulieu, Marie-Claire","4754","Tufts University","affiliation"
"4476","119","Beerden, Kim","4716","Leiden University","affiliation"
"4395","120","Benardou, Agiatis","4670","Athena Research Center, Greece","affiliation"
"4658","121","Benefiel, Rebecca","4830","Washington and Lee University","affiliation"
"4521","122","Berry, Joanne","4746","Swansea University","affiliation"
"4588","123","Berti, Monica","4786","University of Leipzig","affiliation"
"4554","124","Bianco, Elisabetta","4761","Università di Torino","affiliation"
"4439","125","Boatwright, Mary T.","4696","Duke University","affiliation"
"4549","126","Bocchine, Kristin","4803","University of North Texas","affiliation"
"4584","127","Bond, Sarah E.","4783","University of Iowa","affiliation"
"4583","128","Bosak-Schroeder, Clara","4782","University of Illinois, Urbana-Champaign","affiliation"
