"id","last_name","first_name","label","position","type","website"
"278","Michell","Lynette","Michell, Lynette","Professor","person","\N"
"101","Acton","Karen","Acton, Karen","Assistant Professor","person","https://classics.artsci.wustl.edu/karen-acton"
"102","Ahearne-Kroll","Patricia","Ahearne-Kroll, Patricia","\N","person","\N"
"103","Ahuvia","Mika","Ahuvia, Mika","Assistant Professor","person","http://jewishstudies.washington.edu/portfolio/mika-ahuvia/"
"104","Allen","Lindsay","Allen, Lindsay","Lecturer in Greek and Near Eastern History","person","http://www.kcl.ac.uk/artshums/depts/classics/people/academic/allen/index.aspx"
"105","Archibald","Zosia","Archibald, Zosia","Senior Lecturer","person","\N"
"106","Arena","Valentina","Arena, Valentina","Reader in Roman History","person","\N"
"107","Atack","Carol","Atack, Carol","Senior Teaching Fellow","person","\N"
"108","Bablitz","Leanne","Bablitz, Leanne","Associate Professor","person","\N"
"109","Bailey","Lisa","Bailey, Lisa","Senior Lecture in Classics and Ancient History","person","\N"
"110","Bailey","Melissa","Bailey, Melissa","Visiting Assistant Professor","person","\N"
"111","Balberg","Mira","Balberg, Mira","Assistant Professor","person","\N"
"112","Ballmes","Victoria","Ballmes, Victoria","PhD Candidate","person","\N"
"113","Bannon","Cynthia","Bannon, Cynthia","Associate Professor","person","\N"
"114","Barrett","Caitlyn","Barrett, Caitlyn","Assistant Professor","person","\N"
"115","Barry","Jennifer","Barry, Jennifer","Assistant Professor of Religion","person","\N"
"116","Bauerle","Ellen","Bauerle, Ellen","Acquisitions Editor","person","\N"
"117","Beard","Mary","Beard, Mary","Professor","person","\N"
"118","Beaulieu","Marie-Claire","Beaulieu, Marie-Claire","Assistant Professor","person","\N"
"119","Beerden","Kim","Beerden, Kim","Assistant Professor","person","\N"
"120","Benardou","Agiatis","Benardou, Agiatis","Senior Research Associate, Digital Curation Unit","person","\N"
"121","Benefiel","Rebecca","Benefiel, Rebecca","Associate Professor","person","\N"
"122","Berry","Joanne","Berry, Joanne","Lecturer","person","\N"
"123","Berti","Monica","Berti, Monica","Assistant Professor","person","\N"
"124","Bianco","Elisabetta","Bianco, Elisabetta","Associate Professor","person","\N"
"125","Boatwright","Mary T.","Boatwright, Mary T.","Professor","person","\N"
"126","Bocchine","Kristin","Bocchine, Kristin","PhD candidate","person","\N"
"127","Bond","Sarah E.","Bond, Sarah E.","Assistant Professor","person","\N"
"128","Bosak-Schroeder","Clara","Bosak-Schroeder, Clara","Assistant Professor","person","\N"
"129","Brill","Sara","Brill, Sara","Associate Professor","person","\N"
"130","Brown","Amelia","Brown, Amelia","Senior lecturer","person","\N"
"131","Burman","Annie","Burman, Annie","PhD candidate","person","\N"
"132","Burrus","Virginia","Burrus, Virginia","The Bishop W. Earl Ledden Professor","person","\N"
"133","Cameron","Averil ","Cameron, Averil ","Emerita Professor, Research Fellow, Keble College
Member, Faculty of Classics
Chair, Oxford Centre for Byzantine Research","person","\N"
"134","Campa","Naomi T.","Campa, Naomi T.","Mellon Postdoctoral Fellow","person","\N"
"135","Campbell","Virginia","Campbell, Virginia","Fellow","person","\N"
"136","Carlon","Jacqueline","Carlon, Jacqueline","Associate Professor and Graduate Program Director, Classics,","person","\N"
"137","Carr","Karen","Carr, Karen","Associate Professor Emerita","person","\N"
"138","Castelli","Elizabeth","Castelli, Elizabeth","Ann Whitney Olin Professor of Religion,","person","\N"
"139","Cazemier","Annelies","Cazemier, Annelies","Lecturer (Assistant Professor),","person","\N"
"140","Cheung","Caroline ","Cheung, Caroline ","PhD candidate","person","\N"
"141","Chin","Catherine","Chin, Catherine","Associate Professor of Classics","person","\N"
"142","Christensen","Alexis","Christensen, Alexis","Assistant Professor/Lecturer,","person","\N"
"143","Clark","Anna","Clark, Anna","Fellow","person","\N"
"144","Clark","Gillian","Clark, Gillian","Emerita","person","\N"
